,comments
697,凡哥对不起
698,800万助攻~~~~
699,电的好爽，舒坦
700,吴亦凡对不起
701,无一发。
702,吴亦凡对不起                                                                                              
703,没skr，差评
704,吴亦凡对不起
705,好还有
706,对不起，亦凡哥
707,对不起凡凡
708,你看这个面它又长又宽，就像这个碗它又大又圆
709,精髓
710,再来亿遍
711,凡哥对不起
712,凡哥对不起
713,太可爱了叭
714,好听
715,有点好听
716,凡哥对不起
717,凡哥对不起
718,每日n遍
719,666666
720,营销号
721,再来亿次
722,泪目
723,凡哥我错了
724,对不起
725,凡哥保我期中年级50
726,mei hei guo wu yi fan   dan hai shi hen gan dong da jia de dui bu qi
727,啊啊啊啊啊啊啊啊啊啊真的好听诶！！！好可爱！
728,每天看下 和隔壁6的鼓点
729,gao neng  gao neng
730,凡哥对不起
731,凡哥对不起！！！
732,凡哥对不起
733,我才看见凡凡脖子带着ACE哈哈哈哈
734,优秀
735,凡哥，对不起
736,保佑期中考试年纪前三！
737,794万的点击量
738,咳咳咳咳
739,FGNB
740,1.25推荐
741,吴亦凡对不起
742,你看这个面它又长又宽，就像这个碗它又大又圆
743,1.25倍好爽啊啊啊啊啊~
744,一千万助攻
745,凡哥 我爱你（喊破喉咙）
746,还挺好听(≖‿≖)✧
747,电音凡
748,凡哥对不起
749,凡凡保佑我一次过护师！
750,吴亦凡对不起
751,凡哥dbq 
752,dbq 凡哥
753,666
754,挺好听的
755,凡哥，我错了
756,注入灵魂
757,凡哥对不起
758,来了来了
759,800w合影
760,1.25锤爆
761,他与世界的一切和解了[心]
762,51烦
763,你看這個面它又長又寬，就像這個碗它又大又圓
764,我这一生 漂泊四海 看淡了今朝
765,你们好
766,他与世界的一切和解了[心]
767,大声肛：吴亦凡对不起！
768,我这一生 漂泊四海 看淡了今朝
769,1.25感觉这个歌有灵魂了
770,凡哥，对不起
771,1.25确实不错
772,他真的在认真做音乐，可能还是有不同的声音，但是坚持的样子很酷。
773,虚荣心作祟@蔡徐坤
774,吴亦凡对不起！
775,真的牛逼啊，51凡反手diss了那些diss他的人
776,黑转路
777,我觉得好好听啊！！！！！
778,每天一面
779,吴亦凡对不起，祝我考试考
780,吴亦凡对不起，祝我考试考前十
781,厉害了
782,这不是吴亦凡的声音吧？
783,凡哥 粉你了 祝我一模考好 定来还愿
784,凡哥对不起
785,洗脑神歌
786,aaaaaaaaa
787,凡凡比起蔡某是真男人，果然人和人还是要对比
788,泪目
789,亲上了
790,凡哥对不起，我爱你！
791,真的超好听啊啊啊啊啊啊啊
792,凡哥对不起
793,别放弃你自己，你有你的天敌！
794,对不起，凡哥
795,很好听是什么鬼？（发自真心）
796,这碗大~
797,还行吧
798,路转半粉，感觉好好哦
799,高能
800,真的好好听
801,这段好喜欢
802,明天考试，凡哥保佑了
803,1.25是真好听
804,1.25
805,凡哥对不起
806,我错了，凡凡
807,这段出不去了
808,QAQ
809,凡哥对不起
810,真的挺好听的（不是粉，真心话）
811,但我从来没黑吴亦凡啊！
812,八百万助攻
813,吴亦凡对不起
814,凡哥对不起！
815,这段真的出不去
816,集体道歉
817,注入灵魂
818,。。。
819,1.25真心好听
820,真的好听
821,注入灵魂。
822,吴亦凡出来挨夸！
823,800w
824,凡哥对不起！
825,23333
826,停不下来
827,凡哥对唔住
828,对捂住，亦凡哥
829,还凑合吧  也就听了几十遍而已
830,多听几遍有毒，越听越顺耳
831,这歌词让我觉得这个面对我口味
832,凡哥的大碗宽面上头又有灵魂哈哈
833,1.5嗨爆了
834,凡哥我错了！！！
835,凡哥对不起！！！
836,对不起凡哥
837,凡哥我错了
838,哈哈哈哈哈
839,这是一个明星该有的大度
840,对唔住，亦凡哥!
841,再来一遍
842,注入灵魂
843,再来一遍
844,吴亦凡我爱你。
845,蔡徐坤出来道歉
846,致敬 凡哥对不起
847,1.25爱了爱了卧槽卧槽
848,凡哥祝我期中考试前50
849,还挺好听的
850,要 来 了
851,1.25好听啊啊啊啊
852,66666666666666666
853,凡哥，对不起啊啊啊
854,凡哥，我刚打完cxk
855,skr
856,真好听
857,你看这个面它又长又宽 你看这个碗它又大又圆
858,一直红下去吧凡凡
859,吴亦凡对不起
860,电击一下
861,凡哥对不起
862,CXK进来挨打
863,好饿
864,哈哈哈哈哈哈哈哈
865,突然粉了
866,1.25好听
867,凡哥对不起
868,有点可爱
869,凡哥对不起
870,凡哥对不起
871,这个吃面的背影
872,精华要来了
873,真的不错
874,吴亦凡对不起
875,对不起，吴亦凡
876,前方高能
877,1.25倍极度舒服
878,你看这个面它又长又宽，就像这个碗他又大又圆
879,我知道你回来 LZy
880,1.25倍极度舒服
881,真的感觉吴亦凡这个梗是搞笑，蔡徐坤是恶心
882,还没到800w吗
883,Kris 牛掰
884,对不起 亦凡哥！
885,1.5倍再来一遍
886,吴亦凡来埃夸
887,1.25倍
888,对唔住，亦凡哥
889,1.5倍的我哭了
890,有一点点想哭
891,有男粉嘛（小声叨叨）
892,呜呜呜
893,95刚刚还94w……
894,2333
895,他也太可爱了吧，很大度啊
896,吴亦凡，对不起
897,6666
898,睡前一遍
899,1.25
900,233
901,凡哥我之前是开玩笑的我错了
902,cxk进来挨打
903,51凡对不起~
904,800万助攻
905,完了，中毒了
906,凡哥，对不起
907,前方高能！
908,前方高能！前方高能！
909,前方高能！前方高能！前方高能！
910,前方高能！前方高能！前方高能！前方高能！
911,前方高能！前方高能！前方高能！前方高能！前方高能！
912,800w
913,凡哥对不起
914,吴亦凡nb
915,晚上吃了碗面，想起凡哥的大碗宽面
916,亦凡哥！对不起
917,北冥有碗，其名为无影，碗之大，一凡吃不了
918,凡哥真男人
919,凡哥对不起
920,凡哥
921,吴亦凡牛逼！！！！！！
922,你看这个面他又长又宽
923,现在我随口都能来几句了
924,800W助攻
925,再来一遍
926,对唔住 亦凡哥
927,再来一碗
928,凡哥对不起
929,凡哥对不起
930,大型道歉会场
931,路转路粉
932,电满了
933,凡哥我又来了
934,凡哥对不住
935,梁非凡对不起
936,对不起吴亦凡哥哥
937,凡！冲一千万！！冲鸭！
938,你看着碗又大又圆
939,凡哥对不起
940,800w助攻
941,"1,25倍超棒"
942,你看着碗又大又圆
943,你看着碗又大又圆
944,上头了
945,你看着碗又大又圆
946,你看着碗又大又圆
947,你看着碗又大又圆
948,你看着碗又大又圆
949,你看着碗又大又圆
950,你看着碗又大又圆
951,你看着碗又大又圆
952,你看着碗又大又圆
953,你看着碗又大又圆
954,你看着面又长又宽
955,你看着面又长又宽
956,几十万硬币我还是第一次见
957,你看着面又长又宽
958,你看着面又长又宽
959,反正我这就去给你抓鸡炖汤喝。
960,你看着面又长又宽
961,你看着面又长又宽
962,你看着面又长又宽
963,你看着面又长又宽
964,你看着面又长又宽
965,一凡哥对不起
966,你看着面又长又宽
967,你看着面又长又宽
968,你看着面又长又宽
969,黑转粉 凡哥skr
970,吴亦凡，对不起！
971,吴亦凡进来挨夸
972,吴亦凡对不起
973,凡哥对不起
974,对不起对不起对不起对不起
975,莫名魔性
976,800万
977,我又来了
978,6666666666666666
979,好听
980,1.25
981,凡凡的歌很多都可循环听！有毒！
982,好听
983,完全出不去
984,666
985,对不起凡哥
986,1.25相信我
987,微博播放量过亿了
988,51凡对不起
989,千万别虚荣心作祟
990,黑转路  呜呜呜
991,1.25有点好听
992,正确的打开方式:1.25
993,又来啦
994,说实在的 这歌真的好听啊
995,1.25 洗脑
996,对不起凡哥
997,666666
998,凡哥对不起
999,1.25新世界
